#  Index          Path Flux       Relative Flux
	   0 0 0 
           1   3.1486592545129708E-014   8.5560960510357220E-002
           2   5.7839781998488843E-014  0.15717252657324618     
           3   7.8387836715363220E-014  0.21300934968058141     
           4   9.7703773924335143E-014  0.26549804430158835     
           5   1.1623757223984040E-013  0.31586137223257954     
           6   1.3341445042543413E-013  0.36253743583083409     
           7   1.4946936953316779E-013  0.40616471299030732     
           8   1.6432061086862194E-013  0.44652114316328667     
           9   1.7771069872108747E-013  0.48290706762726066     
          10   1.9047512537481104E-013  0.51759283437992643     
          11   2.0302760509255417E-013  0.55170266128156764     
          12   2.1411433912731338E-013  0.58182950373291420     
          13   2.2487584376640656E-013  0.61107257511759150     
          14   2.3533805213193249E-013  0.63950234552005303     
          15   2.4552080286517921E-013  0.66717272401926275     
          16   2.5553135194250225E-013  0.69437516560020518     
          17   2.6418240392817734E-013  0.71788334027037559     
          18   2.7175825518394781E-013  0.73846978858796519     
          19   2.7932629628046021E-013  0.75903501375392612     
          20   2.8526518138895271E-013  0.77517320697108560     
          21   2.9101142812140931E-013  0.79078792898502848     
          22   2.9671229708110617E-013  0.80627934245684896     
          23   3.0235641568852669E-013  0.82161654379399318     
          24   3.0703259636996957E-013  0.83432349231663083     
          25   3.1097974453073607E-013  0.84504938421578812     
          26   3.1460953942021017E-013  0.85491290745203075     
          27   3.1803077753567784E-013  0.86420970318737411     
          28   3.2091185001102876E-013  0.87203866492522042     
          29   3.2375254516548679E-013  0.87975790623671446     
          30   3.2620129305180908E-013  0.88641207883100659     
          31   3.2850435348535560E-013  0.89267036360809715     
          32   3.3035527501066259E-013  0.89770001625493645     
          33   3.3219452718958788E-013  0.90269795888159765     
          34   3.3382943211191965E-013  0.90714061285558101     
          35   3.3542430770086062E-013  0.91147449201664699     
          36   3.3677921060343172E-013  0.91515627478104411     
          37   3.3797406630632879E-013  0.91840314887402896     
          38   3.3890606574444850E-013  0.92093574324753380     
          39   3.3981663197138842E-013  0.92341009549360820     
          40   3.4068068056761998E-013  0.92575804177313137     
          41   3.4152685338254782E-013  0.92805741280539555     
          42   3.4233444657357699E-013  0.93025194843280723     
          43   3.4313506796510291E-013  0.93242753904858799     
          44   3.4384462729918584E-013  0.93435567967149624     
          45   3.4453414769337725E-013  0.93622936692850689     
          46   3.4517364574325159E-013  0.93796712458879750     
          47   3.4580131188635528E-013  0.93967273049095446     
          48   3.4642066345441914E-013  0.94135574255334842     
          49   3.4703252176153351E-013  0.94301839259647113     
          50   3.4763951255288220E-013  0.94466781576140391     
          51   3.4821319288668372E-013  0.94622672183596901     
          52   3.4877974217096392E-013  0.94776625015647531     
          53   3.4934485250493501E-013  0.94930186830567942     
          54   3.4984719876749364E-013  0.95066693277468162     
          55   3.5032502622456314E-013  0.95196537039147000     
          56   3.5080044826003708E-013  0.95325727156955520     
          57   3.5126802759304421E-013  0.95452786116382582     
          58   3.5172706247813568E-013  0.95577523226693573     
          59   3.5217570809901950E-013  0.95699437181646185     
          60   3.5260684654304677E-013  0.95816593775618819     
          61   3.5303413774915643E-013  0.95932704929786961     
          62   3.5343036417457772E-013  0.96040374610112145     
          63   3.5382618582951339E-013  0.96147934299013227     
          64   3.5421662740027624E-013  0.96254032015905777     
          65   3.5460104593680555E-013  0.96358493046982074     
          66   3.5497437651972148E-013  0.96459941062407673     
          67   3.5534061364848472E-013  0.96559461518508549     
          68   3.5569430250127960E-013  0.96655572134236689     
          69   3.5603325477333545E-013  0.96747678264560888     
          70   3.5635658674100469E-013  0.96835539768398859     
          71   3.5667705398430552E-013  0.96922622818460957     
          72   3.5697815489133611E-013  0.97004443303733068     
          73   3.5727684842640023E-013  0.97085609615145430     
          74   3.5757032398645338E-013  0.97165358005729363     
          75   3.5783726321498894E-013  0.97237895473093161     
          76   3.5809347081782074E-013  0.97307516752553380     
          77   3.5834161674211458E-013  0.97374947369565623     
          78   3.5857710805239381E-013  0.97438939250142897     
          79   3.5881154658683923E-013  0.97502645051775894     
          80   3.5903459379089981E-013  0.97563255398834636     
          81   3.5923903676031382E-013  0.97618810272889611     
          82   3.5944265503215805E-013  0.97674141045476326     
          83   3.5963881816561532E-013  0.97727445975475558     
          84   3.5982872965663554E-013  0.97779052098177965     
          85   3.6001474868669287E-013  0.97829600492266966     
          86   3.6020037392609322E-013  0.97880041878565893     
          87   3.6037638070391792E-013  0.97927869565685199     
          88   3.6055151102139969E-013  0.97975459085436334     
          89   3.6072282858779157E-013  0.98022012536756209     
          90   3.6088877739141797E-013  0.98067107092521388     
          91   3.6105450199132725E-013  0.98112140723671248     
          92   3.6121475532770478E-013  0.98155687605938036     
          93   3.6136934088591038E-013  0.98197694338874109     
          94   3.6152364118899500E-013  0.98239623557223277     
          95   3.6167672763575438E-013  0.98281222924976630     
          96   3.6182710084947917E-013  0.98322085004869475     
          97   3.6197721225496132E-013  0.98362875941577543     
          98   3.6211730867448878E-013  0.98400945428460418     
          99   3.6225397367482381E-013  0.98438082469186727     
         100   3.6238276306364326E-013  0.98473079408900477     
         101   3.6250824522785801E-013  0.98507177650816447     
         102   3.6263292370839959E-013  0.98541057501533280     
         103   3.6275421033102046E-013  0.98574015656384828     
         104   3.6287410346622058E-013  0.98606595148089493     
         105   3.6299297936071999E-013  0.98638898217087256     
         106   3.6310920112997567E-013  0.98670480060043031     
         107   3.6322397448847388E-013  0.98701668315107560     
         108   3.6333291358538066E-013  0.98731271181010305     
         109   3.6344094668456863E-013  0.98760627853124583     
         110   3.6354694227388711E-013  0.98789430856875948     
