# Cummulative flux accounted for as a function of pathway in the R-->L direction
#  Index          Path Flux       Relative Flux
	   0	 0			 0
           1   7.3206777634426680E-015  0.10838187827703336     
           2   1.3840766972000911E-014  0.20491112567625777     
           3   1.8802373532976082E-014  0.27836719842344232     
           4   2.3433879523130919E-014  0.34693616630931362     
           5   2.8016577622764987E-014  0.41478253841644475     
           6   3.2180551160663158E-014  0.47642973662900978     
           7   3.5992603692039884E-014  0.53286678068311588     
           8   3.9364978648702116E-014  0.58279444364933797     
           9   4.2342148351238321E-014  0.62687113364130520     
          10   4.5287091023243952E-014  0.67047070577437184     
          11   4.7851746211843308E-014  0.70844016098812257     
          12   5.0296044083646251E-014  0.74462773855607400     
          13   5.2455694804277207E-014  0.77660114444660422     
          14   5.4489405956267744E-014  0.80671002802926706     
          15   5.5859570125324177E-014  0.82699516705448095     
          16   5.6831402348922780E-014  0.84138304276316811     
          17   5.7720892265688248E-014  0.85455184912272952     
          18   5.8556260088027571E-014  0.86691938346353259     
          19   5.9376986310208073E-014  0.87907015042603109     
          20   6.0194624670310643E-014  0.89117520190935118     
          21   6.0836306059383510E-014  0.90067522860775728     
          22   6.1414486252601744E-014  0.90923512665934170     
          23   6.1927514718499764E-014  0.91683046011620783     
          24   6.2430939472369538E-014  0.92428361160827688     
          25   6.2914428878096313E-014  0.93144162232982408     
          26   6.3306090899670083E-014  0.93724013811205442     
          27   6.3634727632626350E-014  0.94210557100496162     
          28   6.3945434960448802E-014  0.94670556090644287     
          29   6.4222846907582662E-014  0.95081261613526336     
          30   6.4482403447259480E-014  0.95465532390062080     
          31   6.4723567020387317E-014  0.95822572569567321     
          32   6.4904088596425459E-014  0.96089832898634764     
          33   6.5042914615427524E-014  0.96295363386102795     
          34   6.5180282342862419E-014  0.96498734887965476     
          35   6.5317323167218786E-014  0.96701622413196364     
          36   6.5443508120345549E-014  0.96888437933181037     
          37   6.5551467902988117E-014  0.97048271276476272     
          38   6.5647028142049005E-014  0.97189747223549661     
          39   6.5734172993579733E-014  0.97318764276290859     
          40   6.5812651158571564E-014  0.97434950389112596     
          41   6.5890861318744411E-014  0.97550739723567537     
          42   6.5964371144897181E-014  0.97659570262046380     
          43   6.6035440400853361E-014  0.97764787561553079     
          44   6.6100476911959828E-014  0.97861073444610291     
          45   6.6160364809077091E-014  0.97949736857826530     
          46   6.6219711977520098E-014  0.98037599727824676     
          47   6.6277825915694053E-014  0.98123636813145132     
          48   6.6321181586190495E-014  0.98187824435578530     
          49   6.6363807698319108E-014  0.98250931954382559     
          50   6.6404101949587263E-014  0.98310587177263931     
          51   6.6442707641590246E-014  0.98367742505591083     
          52   6.6480093539806625E-014  0.98423091941814045     
          53   6.6517088098202136E-014  0.98477862003473593     
          54   6.6553585487549887E-014  0.98531896011492237     
          55   6.6588285914872457E-014  0.98583269635789927     
          56   6.6620993534819032E-014  0.98631692929347303     
          57   6.6653386811224148E-014  0.98679650840537791     
          58   6.6685133862504457E-014  0.98726652022104600     
          59   6.6715331113814333E-014  0.98771358740820070     
          60   6.6743645386384281E-014  0.98813277728956705     
          61   6.6771337527544541E-014  0.98854275657966084     
          62   6.6798006087614687E-014  0.98893758185742131     
          63   6.6823778664332182E-014  0.98931914219417461     
          64   6.6849536829493094E-014  0.98970048916932085     
          65   6.6874753929495461E-014  0.99007382573067104     
          66   6.6898432480512711E-014  0.99042438423318346     
          67   6.6921679111784608E-014  0.99076854820847049     
          68   6.6942880447910011E-014  0.99108243180033251     
          69   6.6963544298693844E-014  0.99138835797721903     
          70   6.6983133469772860E-014  0.99167837363205857     
          71   6.7002031124099696E-014  0.99195815145279542     
          72   6.7020331935781047E-014  0.99222909307980212     
          73   6.7037430896075767E-014  0.99248224142114561     
          74   6.7054328556536212E-014  0.99273240953923114     
          75   6.7071188773109725E-014  0.99298202330443741     
          76   6.7086958971436312E-014  0.99321549946206478     
          77   6.7102360215761993E-014  0.99344351329381086     
          78   6.7117551596134084E-014  0.99366842011139678     
          79   6.7132182459326655E-014  0.99388502853002492     
          80   6.7146689239054395E-014  0.99409979990577035     
          81   6.7160252915544324E-014  0.99430060873547488     
          82   6.7173306145571977E-014  0.99449386045801946     
          83   6.7186104713303880E-014  0.99468334193157459     
          84   6.7198093988807347E-014  0.99486084191726376     
          85   6.7209454287884938E-014  0.99502902997192266     
          86   6.7220411968453141E-014  0.99519125730112878     
          87   6.7230895593869980E-014  0.99534646629277490     
          88   6.7241354937137392E-014  0.99550131578970635     
          89   6.7251388504098533E-014  0.99564986171239356     
          90   6.7261209003807067E-014  0.99579525319640960     
          91   6.7270791146045117E-014  0.99593711582269040     
          92   6.7279540699572023E-014  0.99606665205908473     
          93   6.7288021411113907E-014  0.99619220811765419     
          94   6.7296316271146571E-014  0.99631501266382261     
          95   6.7304105793033248E-014  0.99643033573092632     
          96   6.7311258561335869E-014  0.99653623172697603     
          97   6.7318143076536494E-014  0.99663815626355334     
          98   6.7324987299270265E-014  0.99673948427431980     
          99   6.7331751107200311E-014  0.99683962175222174     
         100   6.7338045921323398E-014  0.99693281582524484     
         101   6.7344230888583730E-014  0.99702438362680879     
         102   6.7350134896341070E-014  0.99711179185194587     
         103   6.7355830878091344E-014  0.99719612027353122     
         104   6.7361413972985377E-014  0.99727877741686788     
         105   6.7365978323625112E-014  0.99734635215672596     
         106   6.7370493033952284E-014  0.99741319197688294     
         107   6.7374940030538612E-014  0.99747902930209953     
         108   6.7379342097559139E-014  0.99754420144973432     
         109   6.7383705217480376E-014  0.99760879698958627     
