# Index		Plot Coordinate		Eigenvector Energy


           1  -4.000000      0.12285201251506805     
           1   4.000000      0.12285201251506805     
 
 
           2  -4.000000      0.12547373771667480     
           2   4.000000      0.12547373771667480     
 
 
           3  -4.000000      0.12548889219760895     
           3   4.000000      0.12548889219760895     
 
 
           4  -4.000000      0.12562963366508484     
           4   4.000000      0.12562963366508484     
 
 
           5  -4.000000      0.12794083356857300     
           5   4.000000      0.12794083356857300     
 
 
           6  -4.000000      0.12798631191253662     
           6   4.000000      0.12798631191253662     
 
 
           7  -4.000000      0.12812064588069916     
           7   4.000000      0.12812064588069916     
 
 
           8  -4.000000      0.12823903560638428     
           8   4.000000      0.12823903560638428     
 
 
           9  -4.000000      0.12827555835247040     
           9   4.000000      0.12827555835247040     
 
 
          10  -4.000000      0.13025690615177155     
          10   4.000000      0.13025690615177155     
 
 
          11  -4.000000      0.13028433918952942     
          11   4.000000      0.13028433918952942     
 
 
          12  -4.000000      0.13050073385238647     
          12   4.000000      0.13050073385238647     
 
 
          13  -4.000000      0.13055321574211121     
          13   4.000000      0.13055321574211121     
 
 
          14  -4.000000      0.13088397681713104     
          14   4.000000      0.13088397681713104     
 
 
          15  -4.000000      0.13094349205493927     
          15   4.000000      0.13094349205493927     
 
 
          16  -4.000000      0.13097687065601349     
          16   4.000000      0.13097687065601349     
 
 
          17  -4.000000      0.13233630359172821     
          17   4.000000      0.13233630359172821     
 
 
          18  -4.000000      0.13235257565975189     
          18   4.000000      0.13235257565975189     
 
 
          19  -4.000000      0.13261583447456360     
          19   4.000000      0.13261583447456360     
 
 
          20  -4.000000      0.13264350593090057     
          20   4.000000      0.13264350593090057     
 
 
          21  -4.000000      0.13336935639381409     
          21   4.000000      0.13336935639381409     
 
 
          22  -4.000000      0.13340643048286438     
          22   4.000000      0.13340643048286438     
 
 
          23  -4.000000      0.13344636559486389     
          23   4.000000      0.13344636559486389     
 
 
          24  -4.000000      0.13352195918560028     
          24   4.000000      0.13352195918560028     
 
 
          25  -4.000000      0.13380421698093414     
          25   4.000000      0.13380421698093414     
 
 
          26  -4.000000      0.13396304845809937     
          26   4.000000      0.13396304845809937     
 
 
          27  -4.000000      0.13396409153938293     
          27   4.000000      0.13396409153938293     
 
 
          28  -4.000000      0.13452817499637604     
          28   4.000000      0.13452817499637604     
 
 
          29  -4.000000      0.13454309105873108     
          29   4.000000      0.13454309105873108     
 
 
          30  -4.000000      0.13547730445861816     
          30   4.000000      0.13547730445861816     
 
 
          31  -4.000000      0.13548314571380615     
          31   4.000000      0.13548314571380615     
 
 
          32  -4.000000      0.13570205867290497     
          32   4.000000      0.13570205867290497     
 
 
          33  -4.000000      0.13575688004493713     
          33   4.000000      0.13575688004493713     
 
 
          34  -4.000000      0.13582944869995117     
          34   4.000000      0.13582944869995117     
 
 
