# Index		Plot Coordinate		Eigenvector Energy


           1  -7.000000      0.12285201251506805     
           1   7.000000      0.12285201251506805     
 
 
           2  -7.000000      0.12547373771667480     
           2   7.000000      0.12547373771667480     
 
 
           3  -7.000000      0.12548889219760895     
           3   7.000000      0.12548889219760895     
 
 
           4  -7.000000      0.12562963366508484     
           4   7.000000      0.12562963366508484     
 
 
           5  -7.000000      0.12794083356857300     
           5   7.000000      0.12794083356857300     
 
 
           6  -7.000000      0.12798631191253662     
           6   7.000000      0.12798631191253662     
 
 
           7  -7.000000      0.12812064588069916     
           7   7.000000      0.12812064588069916     
 
 
           8  -7.000000      0.12823903560638428     
           8   7.000000      0.12823903560638428     
 
 
           9  -7.000000      0.12827555835247040     
           9   7.000000      0.12827555835247040     
 
 
          10  -7.000000      0.13025690615177155     
          10   7.000000      0.13025690615177155     
 
 
          11  -7.000000      0.13028433918952942     
          11   7.000000      0.13028433918952942     
 
 
          12  -7.000000      0.13050073385238647     
          12   7.000000      0.13050073385238647     
 
 
          13  -7.000000      0.13055321574211121     
          13   7.000000      0.13055321574211121     
 
 
          14  -7.000000      0.13088397681713104     
          14   7.000000      0.13088397681713104     
 
 
          15  -7.000000      0.13094349205493927     
          15   7.000000      0.13094349205493927     
 
 
          16  -7.000000      0.13097687065601349     
          16   7.000000      0.13097687065601349     
 
 
          17  -7.000000      0.13233630359172821     
          17   7.000000      0.13233630359172821     
 
 
          18  -7.000000      0.13235257565975189     
          18   7.000000      0.13235257565975189     
 
 
          19  -7.000000      0.13261583447456360     
          19   7.000000      0.13261583447456360     
 
 
          20  -7.000000      0.13264350593090057     
          20   7.000000      0.13264350593090057     
 
 
          21  -7.000000      0.13336935639381409     
          21   7.000000      0.13336935639381409     
 
 
          22  -7.000000      0.13340643048286438     
          22   7.000000      0.13340643048286438     
 
 
          23  -7.000000      0.13344636559486389     
          23   7.000000      0.13344636559486389     
 
 
          24  -7.000000      0.13352195918560028     
          24   7.000000      0.13352195918560028     
 
 
          25  -7.000000      0.13380421698093414     
          25   7.000000      0.13380421698093414     
 
 
          26  -7.000000      0.13396304845809937     
          26   7.000000      0.13396304845809937     
 
 
          27  -7.000000      0.13396409153938293     
          27   7.000000      0.13396409153938293     
 
 
          28  -7.000000      0.13452817499637604     
          28   7.000000      0.13452817499637604     
 
 
          29  -7.000000      0.13454309105873108     
          29   7.000000      0.13454309105873108     
 
 
          30  -7.000000      0.13547730445861816     
          30   7.000000      0.13547730445861816     
 
 
          31  -7.000000      0.13548314571380615     
          31   7.000000      0.13548314571380615     
 
 
          32  -7.000000      0.13570205867290497     
          32   7.000000      0.13570205867290497     
 
 
          33  -7.000000      0.13575688004493713     
          33   7.000000      0.13575688004493713     
 
 
          34  -7.000000      0.13582944869995117     
          34   7.000000      0.13582944869995117     
 
 
          35  -7.000000      0.13594789803028107     
          35   7.000000      0.13594789803028107     
 
 
          36  -7.000000      0.13627815246582031     
          36   7.000000      0.13627815246582031     
 
 
          37  -7.000000      0.13630047440528870     
          37   7.000000      0.13630047440528870     
 
 
          38  -7.000000      0.13660635054111481     
          38   7.000000      0.13660635054111481     
 
 
          39  -7.000000      0.13661821186542511     
          39   7.000000      0.13661821186542511     
 
 
          40  -7.000000      0.13662776350975037     
          40   7.000000      0.13662776350975037     
 
 
          41  -7.000000      0.13748960196971893     
          41   7.000000      0.13748960196971893     
 
 
          42  -7.000000      0.13749806582927704     
          42   7.000000      0.13749806582927704     
 
 
          43  -7.000000      0.13780519366264343     
          43   7.000000      0.13780519366264343     
 
 
          44  -7.000000      0.13783918321132660     
          44   7.000000      0.13783918321132660     
 
 
          45  -7.000000      0.13792090117931366     
          45   7.000000      0.13792090117931366     
 
 
          46  -7.000000      0.13800147175788879     
          46   7.000000      0.13800147175788879     
 
 
          47  -7.000000      0.13874261081218719     
          47   7.000000      0.13874261081218719     
 
 
          48  -7.000000      0.13875830173492432     
          48   7.000000      0.13875830173492432     
 
 
          49  -7.000000      0.13888242840766907     
          49   7.000000      0.13888242840766907     
 
 
          50  -7.000000      0.13888283073902130     
          50   7.000000      0.13888283073902130     
 
 
          51  -7.000000      0.13892103731632233     
          51   7.000000      0.13892103731632233     
 
 
          52  -7.000000      0.13892702758312225     
          52   7.000000      0.13892702758312225     
 
 
          53  -7.000000      0.13922601938247681     
          53   7.000000      0.13922601938247681     
 
 
          54  -7.000000      0.13925531506538391     
          54   7.000000      0.13925531506538391     
 
 
          55  -7.000000      0.13950695097446442     
          55   7.000000      0.13950695097446442     
 
 
          56  -7.000000      0.14007356762886047     
          56   7.000000      0.14007356762886047     
 
 
          57  -7.000000      0.14007827639579773     
          57   7.000000      0.14007827639579773     
 
 
          58  -7.000000      0.14009958505630493     
          58   7.000000      0.14009958505630493     
 
 
          59  -7.000000      0.14013159275054932     
          59   7.000000      0.14013159275054932     
 
 
          60  -7.000000      0.14092881977558136     
          60   7.000000      0.14092881977558136     
 
 
          61  -7.000000      0.14094214141368866     
          61   7.000000      0.14094214141368866     
 
 
          62  -7.000000      0.14118346571922302     
          62   7.000000      0.14118346571922302     
 
 
          63  -7.000000      0.14119032025337219     
          63   7.000000      0.14119032025337219     
 
 
          64  -7.000000      0.14132682979106903     
          64   7.000000      0.14132682979106903     
 
 
          65  -7.000000      0.14133280515670776     
          65   7.000000      0.14133280515670776     
 
 
          66  -7.000000      0.14140795171260834     
          66   7.000000      0.14140795171260834     
 
 
          67  -7.000000      0.14148551225662231     
          67   7.000000      0.14148551225662231     
 
 
          68  -7.000000      0.14175762236118317     
